n,seconds
1,0.0000186840
2,0.0000043840
3,0.0000074380
4,0.0000168070
5,0.0000356830
6,0.0013155910
7,0.0001706380
8,0.0003751040
9,0.0007980300
10,0.0023887720
11,0.0037398770
12,0.0084552140
13,0.0171194420
14,0.0705540100
15,0.0992293540
16,0.1944448600
17,0.3964285800
18,0.9430524190
19,1.7480108500
20,4.9216511100
21,8.2995013430
22,14.6467358750
